character_id,variant,portrait_status,icon_status,chibi_prefab_status,animation_status,vfx_status,sfx_status,regression_capture_status,review_status,notes
naruto-uzumaki,Sage Mode,CONCEPT,CONCEPT,TODO,TODO,TODO,TODO,TODO,TODO,Flagship wave 1
naruto-uzumaki,KCM2,CONCEPT,CONCEPT,TODO,TODO,TODO,TODO,TODO,TODO,Flagship wave 1
naruto-uzumaki,Six Paths Sage Mode,CONCEPT,CONCEPT,TODO,TODO,TODO,TODO,TODO,TODO,Flagship wave 1
sasuke-uchiha,Eternal Mangekyo Sharingan,CONCEPT,CONCEPT,TODO,TODO,TODO,TODO,TODO,TODO,Flagship wave 1
sasuke-uchiha,Rinnegan,CONCEPT,CONCEPT,TODO,TODO,TODO,TODO,TODO,TODO,Flagship wave 1
itachi-uchiha,Susanoo,CONCEPT,CONCEPT,TODO,TODO,TODO,TODO,TODO,TODO,Flagship wave 1
madara-uchiha,Ten-Tails Jinchuriki,CONCEPT,CONCEPT,TODO,TODO,TODO,TODO,TODO,TODO,Flagship wave 1
obito-uchiha,Ten-Tails Jinchuriki,CONCEPT,CONCEPT,TODO,TODO,TODO,TODO,TODO,TODO,Flagship wave 1
kakashi-hatake,Double Mangekyo,CONCEPT,CONCEPT,TODO,TODO,TODO,TODO,TODO,TODO,Flagship wave 1
might-guy,Eighth Gate,CONCEPT,CONCEPT,TODO,TODO,TODO,TODO,TODO,TODO,Flagship wave 1
gaara,Kazekage,CONCEPT,CONCEPT,TODO,TODO,TODO,TODO,TODO,TODO,Flagship wave 1
minato-namikaze,KCM,CONCEPT,CONCEPT,TODO,TODO,TODO,TODO,TODO,TODO,Flagship wave 1
