character_id,variant,portrait_address,icon_address,prefab_address,animation_set,vfx_set,sfx_set,status
naruto-uzumaki,Sage Mode,heroes/naruto-uzumaki/sage-mode/portrait,heroes/naruto-uzumaki/sage-mode/icon,heroes/naruto-uzumaki/sage-mode/prefab,animations/naruto-uzumaki/sage-mode,vfx/naruto-uzumaki/sage-mode,sfx/naruto-uzumaki/sage-mode,CONCEPT
naruto-uzumaki,KCM2,heroes/naruto-uzumaki/kcm2/portrait,heroes/naruto-uzumaki/kcm2/icon,heroes/naruto-uzumaki/kcm2/prefab,animations/naruto-uzumaki/kcm2,vfx/naruto-uzumaki/kcm2,sfx/naruto-uzumaki/kcm2,CONCEPT
naruto-uzumaki,Six Paths Sage Mode,heroes/naruto-uzumaki/six-paths/portrait,heroes/naruto-uzumaki/six-paths/icon,heroes/naruto-uzumaki/six-paths/prefab,animations/naruto-uzumaki/six-paths,vfx/naruto-uzumaki/six-paths,sfx/naruto-uzumaki/six-paths,CONCEPT
sasuke-uchiha,Eternal Mangekyo Sharingan,heroes/sasuke-uchiha/ems/portrait,heroes/sasuke-uchiha/ems/icon,heroes/sasuke-uchiha/ems/prefab,animations/sasuke-uchiha/ems,vfx/sasuke-uchiha/ems,sfx/sasuke-uchiha/ems,CONCEPT
sasuke-uchiha,Rinnegan,heroes/sasuke-uchiha/rinnegan/portrait,heroes/sasuke-uchiha/rinnegan/icon,heroes/sasuke-uchiha/rinnegan/prefab,animations/sasuke-uchiha/rinnegan,vfx/sasuke-uchiha/rinnegan,sfx/sasuke-uchiha/rinnegan,CONCEPT
itachi-uchiha,Susanoo,heroes/itachi-uchiha/susanoo/portrait,heroes/itachi-uchiha/susanoo/icon,heroes/itachi-uchiha/susanoo/prefab,animations/itachi-uchiha/susanoo,vfx/itachi-uchiha/susanoo,sfx/itachi-uchiha/susanoo,CONCEPT
madara-uchiha,Ten-Tails Jinchuriki,heroes/madara-uchiha/ten-tails/portrait,heroes/madara-uchiha/ten-tails/icon,heroes/madara-uchiha/ten-tails/prefab,animations/madara-uchiha/ten-tails,vfx/madara-uchiha/ten-tails,sfx/madara-uchiha/ten-tails,CONCEPT
obito-uchiha,Ten-Tails Jinchuriki,heroes/obito-uchiha/ten-tails/portrait,heroes/obito-uchiha/ten-tails/icon,heroes/obito-uchiha/ten-tails/prefab,animations/obito-uchiha/ten-tails,vfx/obito-uchiha/ten-tails,sfx/obito-uchiha/ten-tails,CONCEPT
kakashi-hatake,Double Mangekyo,heroes/kakashi-hatake/dms/portrait,heroes/kakashi-hatake/dms/icon,heroes/kakashi-hatake/dms/prefab,animations/kakashi-hatake/dms,vfx/kakashi-hatake/dms,sfx/kakashi-hatake/dms,CONCEPT
might-guy,Eighth Gate,heroes/might-guy/eighth-gate/portrait,heroes/might-guy/eighth-gate/icon,heroes/might-guy/eighth-gate/prefab,animations/might-guy/eighth-gate,vfx/might-guy/eighth-gate,sfx/might-guy/eighth-gate,CONCEPT
gaara,Kazekage,heroes/gaara/kazekage/portrait,heroes/gaara/kazekage/icon,heroes/gaara/kazekage/prefab,animations/gaara/kazekage,vfx/gaara/kazekage,sfx/gaara/kazekage,CONCEPT
minato-namikaze,KCM,heroes/minato-namikaze/kcm/portrait,heroes/minato-namikaze/kcm/icon,heroes/minato-namikaze/kcm/prefab,animations/minato-namikaze/kcm,vfx/minato-namikaze/kcm,sfx/minato-namikaze/kcm,CONCEPT
