awakening_id,hero_id,body_change,face_change,eye_change,hair_change,clothing_change,armor_change,weapon_change,aura_change,chakra_change,summon_change,transition_start,transition_mid,transition_end,idle_animation,movement_animation,basic_vfx_modifier,skill1_vfx_modifier,skill2_vfx_modifier,ultimate_vfx_modifier,awakening_skill_vfx,camera_sequence,screen_effect,sfx_description,reference_source,status
awakening-fourth-raikage-base,fourth-raikage-base,Persistent silhouette changes from base hero to Lightning Release Chakra Mode.,Use canon-appropriate face markings/features for Lightning Release Chakra Mode; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Lightning Release Chakra Mode; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Lightning Release Chakra Mode.,Use canonical armor/avatar layer for Lightning Release Chakra Mode; NONE when not applicable.,Use canonical weapon state for Lightning Release Chakra Mode; NONE when not applicable.,Distinct awakened aura profile: aura/fourth-raikage-base/awakened,Distinct chakra/material profile: chakra/fourth-raikage-base/awakened,Form-specific summon/avatar layer for Lightning Release Chakra Mode; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/fourth-raikage-base/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/fourth-raikage-base/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/fourth-raikage-base/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/fourth-raikage-base/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/fourth-raikage-base/Awakened/Animations/Move,vfx/fourth-raikage-base/awakened/basic,vfx/fourth-raikage-base/awakened/skill1,vfx/fourth-raikage-base/awakened/skill2,vfx/fourth-raikage-base/awakened/ultimate,vfx/fourth-raikage-base/awakened/awakening-skill,camera/fourth-raikage-base/awakening,screenfx/fourth-raikage-base/awakening,Unique transition and form aura SFX for Lightning Release Chakra Mode.,https://naruto.fandom.com/wiki/Lightning_Release_Chakra_Mode,ASSET_SPEC_PENDING_PRODUCTION
awakening-asura-base,asura-base,Persistent silhouette changes from base hero to Six Paths Avatar.,Use canon-appropriate face markings/features for Six Paths Avatar; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Six Paths Avatar; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Six Paths Avatar.,Use canonical armor/avatar layer for Six Paths Avatar; NONE when not applicable.,Use canonical weapon state for Six Paths Avatar; NONE when not applicable.,Distinct awakened aura profile: aura/asura-base/awakened,Distinct chakra/material profile: chakra/asura-base/awakened,Form-specific summon/avatar layer for Six Paths Avatar; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/asura-base/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/asura-base/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/asura-base/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/asura-base/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/asura-base/Awakened/Animations/Move,vfx/asura-base/awakened/basic,vfx/asura-base/awakened/skill1,vfx/asura-base/awakened/skill2,vfx/asura-base/awakened/ultimate,vfx/asura-base/awakened/awakening-skill,camera/asura-base/awakening,screenfx/asura-base/awakening,Unique transition and form aura SFX for Six Paths Avatar.,https://naruto.fandom.com/wiki/Asura_%C5%8Ctsutsuki,ASSET_SPEC_PENDING_PRODUCTION
awakening-blue-b-core,blue-b-core,Persistent silhouette changes from base hero to Jinchuriki Cloak.,Use canon-appropriate face markings/features for Jinchuriki Cloak; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Jinchuriki Cloak; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Jinchuriki Cloak.,Use canonical armor/avatar layer for Jinchuriki Cloak; NONE when not applicable.,Use canonical weapon state for Jinchuriki Cloak; NONE when not applicable.,Distinct awakened aura profile: aura/blue-b-core/awakened,Distinct chakra/material profile: chakra/blue-b-core/awakened,Form-specific summon/avatar layer for Jinchuriki Cloak; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/blue-b-core/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/blue-b-core/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/blue-b-core/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/blue-b-core/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/blue-b-core/Awakened/Animations/Move,vfx/blue-b-core/awakened/basic,vfx/blue-b-core/awakened/skill1,vfx/blue-b-core/awakened/skill2,vfx/blue-b-core/awakened/ultimate,vfx/blue-b-core/awakened/awakening-skill,camera/blue-b-core/awakening,screenfx/blue-b-core/awakening,Unique transition and form aura SFX for Jinchuriki Cloak.,current variant census; current kit seed=jinchuriki,ASSET_SPEC_PENDING_PRODUCTION
awakening-choji-shippuden,choji-shippuden,Persistent silhouette changes from base hero to Butterfly Choji.,Use canon-appropriate face markings/features for Butterfly Choji; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Butterfly Choji; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Butterfly Choji.,Use canonical armor/avatar layer for Butterfly Choji; NONE when not applicable.,Use canonical weapon state for Butterfly Choji; NONE when not applicable.,Distinct awakened aura profile: aura/choji-shippuden/awakened,Distinct chakra/material profile: chakra/choji-shippuden/awakened,Form-specific summon/avatar layer for Butterfly Choji; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/choji-shippuden/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/choji-shippuden/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/choji-shippuden/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/choji-shippuden/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/choji-shippuden/Awakened/Animations/Move,vfx/choji-shippuden/awakened/basic,vfx/choji-shippuden/awakened/skill1,vfx/choji-shippuden/awakened/skill2,vfx/choji-shippuden/awakened/ultimate,vfx/choji-shippuden/awakened/awakening-skill,camera/choji-shippuden/awakening,screenfx/choji-shippuden/awakening,Unique transition and form aura SFX for Butterfly Choji.,https://naruto.fandom.com/wiki/Ch%C5%8Dji_Akimichi,ASSET_SPEC_PENDING_PRODUCTION
awakening-danzo-candidate,danzo-candidate,Persistent silhouette changes from base hero to Izanagi Arm Unsealed.,Use canon-appropriate face markings/features for Izanagi Arm Unsealed; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Izanagi Arm Unsealed; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Izanagi Arm Unsealed.,Use canonical armor/avatar layer for Izanagi Arm Unsealed; NONE when not applicable.,Use canonical weapon state for Izanagi Arm Unsealed; NONE when not applicable.,Distinct awakened aura profile: aura/danzo-candidate/awakened,Distinct chakra/material profile: chakra/danzo-candidate/awakened,Form-specific summon/avatar layer for Izanagi Arm Unsealed; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/danzo-candidate/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/danzo-candidate/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/danzo-candidate/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/danzo-candidate/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/danzo-candidate/Awakened/Animations/Move,vfx/danzo-candidate/awakened/basic,vfx/danzo-candidate/awakened/skill1,vfx/danzo-candidate/awakened/skill2,vfx/danzo-candidate/awakened/ultimate,vfx/danzo-candidate/awakened/awakening-skill,camera/danzo-candidate/awakening,screenfx/danzo-candidate/awakening,Unique transition and form aura SFX for Izanagi Arm Unsealed.,https://naruto.fandom.com/wiki/Danz%C5%8D_Shimura,ASSET_SPEC_PENDING_PRODUCTION
awakening-fu-base,fu-base,Persistent silhouette changes from base hero to Seven-Tails Cloak.,Use canon-appropriate face markings/features for Seven-Tails Cloak; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Seven-Tails Cloak; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Seven-Tails Cloak.,Use canonical armor/avatar layer for Seven-Tails Cloak; NONE when not applicable.,Use canonical weapon state for Seven-Tails Cloak; NONE when not applicable.,Distinct awakened aura profile: aura/fu-base/awakened,Distinct chakra/material profile: chakra/fu-base/awakened,Form-specific summon/avatar layer for Seven-Tails Cloak; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/fu-base/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/fu-base/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/fu-base/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/fu-base/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/fu-base/Awakened/Animations/Move,vfx/fu-base/awakened/basic,vfx/fu-base/awakened/skill1,vfx/fu-base/awakened/skill2,vfx/fu-base/awakened/ultimate,vfx/fu-base/awakened/awakening-skill,camera/fu-base/awakening,screenfx/fu-base/awakening,Unique transition and form aura SFX for Seven-Tails Cloak.,https://naruto.fandom.com/wiki/Jinch%C5%ABriki_Forms,ASSET_SPEC_PENDING_PRODUCTION
awakening-gaara-genin,gaara-genin,Persistent silhouette changes from base hero to Shukaku Gaara.,Use canon-appropriate face markings/features for Shukaku Gaara; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Shukaku Gaara; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Shukaku Gaara.,Use canonical armor/avatar layer for Shukaku Gaara; NONE when not applicable.,Use canonical weapon state for Shukaku Gaara; NONE when not applicable.,Distinct awakened aura profile: aura/gaara-genin/awakened,Distinct chakra/material profile: chakra/gaara-genin/awakened,Form-specific summon/avatar layer for Shukaku Gaara; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/gaara-genin/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/gaara-genin/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/gaara-genin/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/gaara-genin/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/gaara-genin/Awakened/Animations/Move,vfx/gaara-genin/awakened/basic,vfx/gaara-genin/awakened/skill1,vfx/gaara-genin/awakened/skill2,vfx/gaara-genin/awakened/ultimate,vfx/gaara-genin/awakened/awakening-skill,camera/gaara-genin/awakening,screenfx/gaara-genin/awakening,Unique transition and form aura SFX for Shukaku Gaara.,https://naruto.fandom.com/wiki/Gaara,ASSET_SPEC_PENDING_PRODUCTION
awakening-ginkaku-base,ginkaku-base,Persistent silhouette changes from base hero to Nine-Tails Cloak.,Use canon-appropriate face markings/features for Nine-Tails Cloak; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Nine-Tails Cloak; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Nine-Tails Cloak.,Use canonical armor/avatar layer for Nine-Tails Cloak; NONE when not applicable.,Use canonical weapon state for Nine-Tails Cloak; NONE when not applicable.,Distinct awakened aura profile: aura/ginkaku-base/awakened,Distinct chakra/material profile: chakra/ginkaku-base/awakened,Form-specific summon/avatar layer for Nine-Tails Cloak; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/ginkaku-base/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/ginkaku-base/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/ginkaku-base/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/ginkaku-base/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/ginkaku-base/Awakened/Animations/Move,vfx/ginkaku-base/awakened/basic,vfx/ginkaku-base/awakened/skill1,vfx/ginkaku-base/awakened/skill2,vfx/ginkaku-base/awakened/ultimate,vfx/ginkaku-base/awakened/awakening-skill,camera/ginkaku-base/awakening,screenfx/ginkaku-base/awakening,Unique transition and form aura SFX for Nine-Tails Cloak.,https://naruto.fandom.com/wiki/Ginkaku,ASSET_SPEC_PENDING_PRODUCTION
awakening-hagoromo-young,hagoromo-young,Persistent silhouette changes from base hero to Sage of Six Paths.,Use canon-appropriate face markings/features for Sage of Six Paths; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Sage of Six Paths; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Sage of Six Paths.,Use canonical armor/avatar layer for Sage of Six Paths; NONE when not applicable.,Use canonical weapon state for Sage of Six Paths; NONE when not applicable.,Distinct awakened aura profile: aura/hagoromo-young/awakened,Distinct chakra/material profile: chakra/hagoromo-young/awakened,Form-specific summon/avatar layer for Sage of Six Paths; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/hagoromo-young/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/hagoromo-young/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/hagoromo-young/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/hagoromo-young/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/hagoromo-young/Awakened/Animations/Move,vfx/hagoromo-young/awakened/basic,vfx/hagoromo-young/awakened/skill1,vfx/hagoromo-young/awakened/skill2,vfx/hagoromo-young/awakened/ultimate,vfx/hagoromo-young/awakened/awakening-skill,camera/hagoromo-young/awakening,screenfx/hagoromo-young/awakening,Unique transition and form aura SFX for Sage of Six Paths.,https://naruto.fandom.com/wiki/Hagoromo_%C5%8Ctsutsuki,ASSET_SPEC_PENDING_PRODUCTION
awakening-han-base,han-base,Persistent silhouette changes from base hero to Five-Tails Cloak.,Use canon-appropriate face markings/features for Five-Tails Cloak; NONE where canon shows no change.,Use canon-appropriate eye/dojutsu state for Five-Tails Cloak; NONE where not applicable.,Preserve canonical hair unless the awakened form visibly changes it.,Use canonical clothing/form treatment for Five-Tails Cloak.,Use canonical armor/avatar layer for Five-Tails Cloak; NONE when not applicable.,Use canonical weapon state for Five-Tails Cloak; NONE when not applicable.,Distinct awakened aura profile: aura/han-base/awakened,Distinct chakra/material profile: chakra/han-base/awakened,Form-specific summon/avatar layer for Five-Tails Cloak; NONE when not canonically applicable.,client-unity/Assets/GameContent/Heroes/han-base/Awakened/Transition/Start,client-unity/Assets/GameContent/Heroes/han-base/Awakened/Transition/Mid,client-unity/Assets/GameContent/Heroes/han-base/Awakened/Transition/End,client-unity/Assets/GameContent/Heroes/han-base/Awakened/Animations/Idle,client-unity/Assets/GameContent/Heroes/han-base/Awakened/Animations/Move,vfx/han-base/awakened/basic,vfx/han-base/awakened/skill1,vfx/han-base/awakened/skill2,vfx/han-base/awakened/ultimate,vfx/han-base/awakened/awakening-skill,camera/han-base/awakening,screenfx/han-base/awakening,Unique transition and form aura SFX for Five-Tails Cloak.,https://naruto.fandom.com/wiki/Jinch%C5%ABriki_Forms,ASSET_SPEC_PENDING_PRODUCTION
