stage_id,wave_index,slot,character_id,variant,level
c1-s1,1,0,mizuki,,1
c1-s1,1,1,kiba-inuzuka,,1
c1-s1,1,2,shino-aburame,,1
c1-s1,1,3,choji-akimichi,,1
c1-s1,1,4,rock-lee,,1
c1-s2,1,0,ino-yamanaka,,2
c1-s2,1,1,shikamaru-nara,,2
c1-s2,1,2,choji-akimichi,,2
c1-s2,1,3,asuma-sarutobi,,2
c1-s2,1,4,kurenai-yuhi,,2
c1-s3,1,0,neji-hyuga,,3
c1-s3,1,1,hinata-hyuga,,3
c1-s3,1,2,tenten,,3
c1-s3,1,3,rock-lee,,3
c1-s3,1,4,might-guy,,3
c1-s4,1,0,gaara,,4
c1-s4,1,1,temari,,4
c1-s4,1,2,kankuro,,4
c1-s4,1,3,baki,,4
c1-s4,1,4,chiyo,,4
c2-s1,1,0,kakashi-hatake,,6
c2-s1,1,1,yamato,,6
c2-s1,1,2,sai,,6
c2-s1,1,3,sakura-haruno,,6
c2-s1,1,4,naruto-uzumaki,,6
c2-s2,1,0,sasuke-uchiha,,8
c2-s2,1,1,shisui-uchiha,,8
c2-s2,1,2,fugaku-uchiha,,8
c2-s2,1,3,obito-uchiha,,8
c2-s2,1,4,madara-uchiha,,8
c2-s3,1,0,tsunade,,10
c2-s3,1,1,jiraiya,,10
c2-s3,1,2,hiruzen-sarutobi,,10
c2-s3,1,3,minato-namikaze,,10
c2-s3,1,4,kushina-uzumaki,,10
c2-s4,1,0,hashirama-senju,,12
c2-s4,1,1,tobirama-senju,,12
c2-s4,1,2,danzo-shimura,,12
c2-s4,1,3,shisui-uchiha,,12
c2-s4,1,4,madara-uchiha,,12
c3-s1,1,0,gaara,,14
c3-s1,1,1,temari,,14
c3-s1,1,2,kankuro,,14
c3-s1,1,3,rasa,,14
c3-s1,1,4,chiyo,,14
c3-s2,1,0,might-guy,,16
c3-s2,1,1,rock-lee,,16
c3-s2,1,2,neji-hyuga,,16
c3-s2,1,3,tenten,,16
c3-s2,1,4,kakashi-hatake,,16
c3-s3,1,0,naruto-uzumaki,,18
c3-s3,1,1,sasuke-uchiha,,18
c3-s3,1,2,sakura-haruno,,18
c3-s3,1,3,kakashi-hatake,,18
c3-s3,1,4,sai,,18
c3-s4,1,0,hashirama-senju,,22
c3-s4,1,1,madara-uchiha,,22
c3-s4,1,2,obito-uchiha,,22
c3-s4,1,3,minato-namikaze,,22
c3-s4,1,4,might-guy,,22
