stage_id,reward_scope,item_id,quantity
c1-s1,FIRST,training-scroll,3
c1-s1,REPEAT,training-scroll,1
c1-s2,FIRST,training-scroll,4
c1-s2,REPEAT,training-scroll,1
c1-s3,FIRST,chakra-crystal,2
c1-s3,REPEAT,training-scroll,2
c1-s4,FIRST,summon-ticket,1
c1-s4,FIRST,chakra-crystal,3
c1-s4,REPEAT,chakra-crystal,1
c2-s1,FIRST,elite-seal,2
c2-s1,REPEAT,chakra-crystal,2
c2-s2,FIRST,elite-seal,3
c2-s2,REPEAT,elite-seal,1
c2-s3,FIRST,elite-seal,4
c2-s3,REPEAT,elite-seal,1
c2-s4,FIRST,summon-ticket,2
c2-s4,FIRST,elite-seal,5
c2-s4,REPEAT,elite-seal,2
c3-s1,FIRST,heroic-token,2
c3-s1,REPEAT,elite-seal,2
c3-s2,FIRST,heroic-token,3
c3-s2,REPEAT,heroic-token,1
c3-s3,FIRST,heroic-token,4
c3-s3,REPEAT,heroic-token,1
c3-s4,FIRST,summon-ticket,3
c3-s4,FIRST,heroic-token,6
c3-s4,REPEAT,heroic-token,2
