stage_id,chapter,stage_index,difficulty,energy_cost,min_player_level,prerequisite_stage_id,name_en,name_vi,first_player_exp,first_gold,first_diamond,repeat_player_exp,repeat_gold,repeat_diamond
c1-s1,1,1,NORMAL,5,1,,Training Grounds,Sân tập,250,700,0,120,350,0
c1-s2,1,2,NORMAL,5,1,c1-s1,Rookie Clash,Đụng độ tân binh,300,850,0,140,425,0
c1-s3,1,3,NORMAL,6,1,c1-s2,Team Trials,Thử thách tổ đội,350,1000,0,160,500,0
c1-s4,1,4,NORMAL,7,2,c1-s3,Sand Vanguard,Tiên phong Làng Cát,500,1400,20,200,700,0
c2-s1,2,1,ELITE,8,2,c1-s4,Leaf Counterattack,Phản công Lá,550,1600,0,220,800,0
c2-s2,2,2,ELITE,8,2,c2-s1,Uchiha Shadow,Bóng tối Uchiha,600,1800,0,240,900,0
c2-s3,2,3,ELITE,9,3,c2-s2,Legendary Sannin,Tam Nin Huyền Thoại,700,2200,0,280,1100,0
c2-s4,2,4,ELITE,10,3,c2-s3,Founders Trial,Thử thách Tiền Nhân,850,2800,30,320,1400,0
c3-s1,3,1,HEROIC,10,4,c2-s4,Kazekage Guard,Hộ vệ Kazekage,900,3000,0,350,1500,0
c3-s2,3,2,HEROIC,11,4,c3-s1,Eight Gates Trial,Thử thách Bát Môn,1000,3400,0,380,1700,0
c3-s3,3,3,HEROIC,12,5,c3-s2,Team Seven Resolve,Ý chí Đội 7,1100,3800,0,420,1900,0
c3-s4,3,4,HEROIC,15,6,c3-s3,Final Legends,Huyền thoại cuối cùng,1500,5000,50,500,2500,0
