id,name_key,slot,rarity,max_enhance_level,set_id,attack,hp,defense,status
academy-kunai,item.academy_kunai,WEAPON,R,10,academy,30,0,0,EXPANSION_PLAYABLE_PROFILE
academy-vest,item.academy_vest,ARMOR,R,10,academy,0,120,20,EXPANSION_PLAYABLE_PROFILE
academy-headband,item.academy_headband,HEAD,R,10,academy,0,80,10,EXPANSION_PLAYABLE_PROFILE
academy-pouch,item.academy_pouch,ACCESSORY,R,10,academy,10,40,5,EXPANSION_PLAYABLE_PROFILE
academy-sandals,item.academy_sandals,BOOTS,R,10,academy,0,60,8,EXPANSION_PLAYABLE_PROFILE
academy-scroll,item.academy_scroll,SPECIAL,R,10,academy,20,60,0,EXPANSION_PLAYABLE_PROFILE
jonin-kunai,item.jonin_kunai,WEAPON,SR,20,jonin,75,0,0,EXPANSION_PLAYABLE_PROFILE
jonin-vest,item.jonin_vest,ARMOR,SR,20,jonin,0,260,45,EXPANSION_PLAYABLE_PROFILE
jonin-headband,item.jonin_headband,HEAD,SR,20,jonin,0,160,25,EXPANSION_PLAYABLE_PROFILE
jonin-pouch,item.jonin_pouch,ACCESSORY,SR,20,jonin,30,100,15,EXPANSION_PLAYABLE_PROFILE
jonin-sandals,item.jonin_sandals,BOOTS,SR,20,jonin,0,130,18,EXPANSION_PLAYABLE_PROFILE
jonin-secret-scroll,item.jonin_secret_scroll,SPECIAL,SR,20,jonin,55,120,0,EXPANSION_PLAYABLE_PROFILE
kage-blade,item.kage_blade,WEAPON,SSR,30,kage,150,0,0,EXPANSION_PLAYABLE_PROFILE
kage-robe,item.kage_robe,ARMOR,SSR,30,kage,0,520,90,EXPANSION_PLAYABLE_PROFILE
kage-hat,item.kage_hat,HEAD,SSR,30,kage,0,340,55,EXPANSION_PLAYABLE_PROFILE
kage-talisman,item.kage_talisman,ACCESSORY,SSR,30,kage,70,220,35,EXPANSION_PLAYABLE_PROFILE
kage-boots,item.kage_boots,BOOTS,SSR,30,kage,0,280,42,EXPANSION_PLAYABLE_PROFILE
kage-forbidden-scroll,item.kage_forbidden_scroll,SPECIAL,SSR,30,kage,120,260,0,EXPANSION_PLAYABLE_PROFILE
six-paths-staff,item.six_paths_staff,WEAPON,UR,40,six-paths,280,0,0,EXPANSION_PLAYABLE_PROFILE
six-paths-cloak,item.six_paths_cloak,ARMOR,UR,40,six-paths,0,900,160,EXPANSION_PLAYABLE_PROFILE
six-paths-crown,item.six_paths_crown,HEAD,UR,40,six-paths,0,620,100,EXPANSION_PLAYABLE_PROFILE
six-paths-orb,item.six_paths_orb,ACCESSORY,UR,40,six-paths,140,420,70,EXPANSION_PLAYABLE_PROFILE
six-paths-sandals,item.six_paths_sandals,BOOTS,UR,40,six-paths,0,480,80,EXPANSION_PLAYABLE_PROFILE
six-paths-scroll,item.six_paths_scroll,SPECIAL,UR,40,six-paths,220,500,0,EXPANSION_PLAYABLE_PROFILE
