hero_id,character_id,version_name,display_name_en,display_name_vi,era,rarity,role,element,faction,base_form_id,basic_skill,skill_1,skill_2,ultimate,passive,awakening_id,summonable,status
fourth-raikage-base,a-fourth-raikage,Fourth Raikage,Fourth Raikage,Fourth Raikage,FIVE_KAGE_SUMMIT,SSR,BRUISER_ASSASSIN,MIXED,KUMOGAKURE,form-a-fourth-raikage-raikage,hvs-fourth-raikage-base-basic,hvs-fourth-raikage-base-skill-1,hvs-fourth-raikage-base-skill-2,hvs-fourth-raikage-base-ultimate,hvs-fourth-raikage-base-passive,awakening-fourth-raikage-base,true,PLAYABLE_DESIGN_BASELINE
ajisai-core,ajisai,ajisai [Core],ajisai [Core],ajisai [Core],SOURCE_ERA,SR,FLEX,WATER,AMEGAKURE,form-ajisai-rain-kunoichi,hvs-ajisai-core-basic,hvs-ajisai-core-skill-1,hvs-ajisai-core-skill-2,hvs-ajisai-core-ultimate,hvs-ajisai-core-passive,,true,PLAYABLE_DESIGN_BASELINE
akatsuchi-core,akatsuchi,Akatsuchi,Akatsuchi,Akatsuchi,SOURCE_ERA,SR,FLEX,EARTH,IWAGAKURE,form-akatsuchi-base,hvs-akatsuchi-core-basic,hvs-akatsuchi-core-skill-1,hvs-akatsuchi-core-skill-2,hvs-akatsuchi-core-ultimate,hvs-akatsuchi-core-passive,,true,PLAYABLE_DESIGN_BASELINE
ameyuri-ringo-core,ameyuri-ringo,ameyuri-ringo [Core],ameyuri-ringo [Core],ameyuri-ringo [Core],SOURCE_ERA,SR,FLEX,MIXED,KIRIGAKURE,form-ameyuri-ringo-kiba-wielder,hvs-ameyuri-ringo-core-basic,hvs-ameyuri-ringo-core-skill-1,hvs-ameyuri-ringo-core-skill-2,hvs-ameyuri-ringo-core-ultimate,hvs-ameyuri-ringo-core-passive,,true,PLAYABLE_DESIGN_BASELINE
anko-mitarashi-core,anko-mitarashi,anko-mitarashi [Core],anko-mitarashi [Core],anko-mitarashi [Core],SOURCE_ERA,SR,FLEX,MIXED,KONOHA,form-anko-mitarashi-chunin-exams-proctor,hvs-anko-mitarashi-core-basic,hvs-anko-mitarashi-core-skill-1,hvs-anko-mitarashi-core-skill-2,hvs-anko-mitarashi-core-ultimate,hvs-anko-mitarashi-core-passive,,true,PLAYABLE_DESIGN_BASELINE
ao-core,ao,ao [Core],ao [Core],ao [Core],SOURCE_ERA,SR,FLEX,WATER,KIRIGAKURE,form-ao-byakugan-hunter,hvs-ao-core-basic,hvs-ao-core-skill-1,hvs-ao-core-skill-2,hvs-ao-core-ultimate,hvs-ao-core-passive,,true,PLAYABLE_DESIGN_BASELINE
aoba-yamashiro-core,aoba-yamashiro,aoba-yamashiro [Core],aoba-yamashiro [Core],aoba-yamashiro [Core],SOURCE_ERA,SR,FLEX,MIXED,KONOHA,form-aoba-yamashiro-jonin,hvs-aoba-yamashiro-core-basic,hvs-aoba-yamashiro-core-skill-1,hvs-aoba-yamashiro-core-skill-2,hvs-aoba-yamashiro-core-ultimate,hvs-aoba-yamashiro-core-passive,,true,PLAYABLE_DESIGN_BASELINE
asuma-sarutobi-core,asuma-sarutobi,asuma-sarutobi [Core],asuma-sarutobi [Core],asuma-sarutobi [Core],SOURCE_ERA,SR,FLEX,MIXED,KONOHA,form-asuma-sarutobi-jonin,hvs-asuma-sarutobi-core-basic,hvs-asuma-sarutobi-core-skill-1,hvs-asuma-sarutobi-core-skill-2,hvs-asuma-sarutobi-core-ultimate,hvs-asuma-sarutobi-core-passive,,true,PLAYABLE_DESIGN_BASELINE
asura-base,asura-otsutsuki,Asura Otsutsuki,Asura Otsutsuki,Asura Otsutsuki,ANCIENT,SR,BRUISER_SUPPORT,CHAKRA,ANCIENTS,form-asura-otsutsuki-base,hvs-asura-base-basic,hvs-asura-base-skill-1,hvs-asura-base-skill-2,hvs-asura-base-ultimate,hvs-asura-base-passive,awakening-asura-base,true,PLAYABLE_DESIGN_BASELINE
atsui-core,atsui,atsui [Core],atsui [Core],atsui [Core],SOURCE_ERA,SR,FLEX,MIXED,KUMOGAKURE,form-atsui-cloud-ninja,hvs-atsui-core-basic,hvs-atsui-core-skill-1,hvs-atsui-core-skill-2,hvs-atsui-core-ultimate,hvs-atsui-core-passive,,true,PLAYABLE_DESIGN_BASELINE
