legacy_character_id,legacy_variant_id,hero_version_id,awakened,mapping_kind,reason
a-fourth-raikage,__BASE__,fourth-raikage-base,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
a-fourth-raikage,BASE,fourth-raikage-base,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
ajisai,__BASE__,ajisai-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
ajisai,BASE,ajisai-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
akatsuchi,__BASE__,akatsuchi-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
akatsuchi,BASE,akatsuchi-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
ameyuri-ringo,__BASE__,ameyuri-ringo-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
ameyuri-ringo,BASE,ameyuri-ringo-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
anko-mitarashi,__BASE__,anko-mitarashi-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
anko-mitarashi,BASE,anko-mitarashi-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
ao,__BASE__,ao-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
ao,BASE,ao-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
aoba-yamashiro,__BASE__,aoba-yamashiro-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
aoba-yamashiro,BASE,aoba-yamashiro-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
asuma-sarutobi,__BASE__,asuma-sarutobi-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
asuma-sarutobi,BASE,asuma-sarutobi-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
asura-otsutsuki,__BASE__,asura-base,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
asura-otsutsuki,BASE,asura-base,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
atsui,__BASE__,atsui-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
atsui,BASE,atsui-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
baiu,__BASE__,baiu-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
baiu,BASE,baiu-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
baki,__BASE__,baki-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
baki,BASE,baki-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
black-zetsu,__BASE__,black-zetsu-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
black-zetsu,BASE,black-zetsu-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
blue-b,__BASE__,blue-b-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
blue-b,BASE,blue-b-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
bunpuku,__BASE__,bunpuku-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
bunpuku,BASE,bunpuku-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
byakuren,__BASE__,byakuren-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
byakuren,BASE,byakuren-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
c,__BASE__,c-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
c,BASE,c-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
chiyo,__BASE__,chiyo-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
chiyo,BASE,chiyo-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
choji-akimichi,__BASE__,choji-shippuden,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
choji-akimichi,BASE,choji-shippuden,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
chojuro,__BASE__,chojuro-core,false,PRIMARY_COMPATIBILITY,Legacy null/BASE ownership resolves to the earliest approved collectible Hero Version for the character.
