awakening_id,hero_id,base_form_id,awakened_form_id,name_en,name_vi,unlock_level,unlock_rank,awakening_skill_id,stat_modifier_profile,base_model,awakened_model,base_portrait,awakened_portrait,awakening_animation,awakening_vfx,awakening_sfx,canon_source,canon_confidence,status
awakening-fourth-raikage-base,fourth-raikage-base,form-a-fourth-raikage-raikage,form-a-fourth-raikage-lightning-armor,Lightning Release Chakra Mode,Lightning Release Chakra Mode,60,KAGE,awaken-skill-fourth-raikage-base,awakening-balanced-v1,hero/fourth-raikage-base/base/prefab,hero/fourth-raikage-base/awakened/prefab,hero/fourth-raikage-base/base/portrait,hero/fourth-raikage-base/awakened/portrait,animation/fourth-raikage-base/awakening-transition,vfx/fourth-raikage-base/awakening-transition,sfx/fourth-raikage-base/awakening-transition,https://naruto.fandom.com/wiki/Lightning_Release_Chakra_Mode,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-asura-base,asura-base,form-asura-otsutsuki-base,form-asura-otsutsuki-six-paths-avatar,Six Paths Avatar,Six Paths Avatar,60,KAGE,awaken-skill-asura-base,awakening-balanced-v1,hero/asura-base/base/prefab,hero/asura-base/awakened/prefab,hero/asura-base/base/portrait,hero/asura-base/awakened/portrait,animation/asura-base/awakening-transition,vfx/asura-base/awakening-transition,sfx/asura-base/awakening-transition,https://naruto.fandom.com/wiki/Asura_%C5%8Ctsutsuki,ANIME_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-blue-b-core,blue-b-core,form-blue-b-eight-tails-host,form-blue-b-jinchuriki-cloak,Jinchuriki Cloak,Jinchuriki Cloak,60,KAGE,awaken-skill-blue-b-core,awakening-balanced-v1,hero/blue-b-core/base/prefab,hero/blue-b-core/awakened/prefab,hero/blue-b-core/base/portrait,hero/blue-b-core/awakened/portrait,animation/blue-b-core/awakening-transition,vfx/blue-b-core/awakening-transition,sfx/blue-b-core/awakening-transition,current variant census; current kit seed=jinchuriki,DESIGN_INTERPRETATION,PLAYABLE_SCHEMA_BASELINE
awakening-choji-shippuden,choji-shippuden,form-choji-akimichi-shippuden,form-choji-akimichi-butterfly-mode,Butterfly Choji,Butterfly Choji,60,KAGE,awaken-skill-choji-shippuden,awakening-balanced-v1,hero/choji-shippuden/base/prefab,hero/choji-shippuden/awakened/prefab,hero/choji-shippuden/base/portrait,hero/choji-shippuden/awakened/portrait,animation/choji-shippuden/awakening-transition,vfx/choji-shippuden/awakening-transition,sfx/choji-shippuden/awakening-transition,https://naruto.fandom.com/wiki/Ch%C5%8Dji_Akimichi,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-danzo-candidate,danzo-candidate,form-danzo-shimura-hokage-candidate,form-danzo-shimura-izanagi-arm,Izanagi Arm Unsealed,Izanagi Arm Unsealed,60,KAGE,awaken-skill-danzo-candidate,awakening-balanced-v1,hero/danzo-candidate/base/prefab,hero/danzo-candidate/awakened/prefab,hero/danzo-candidate/base/portrait,hero/danzo-candidate/awakened/portrait,animation/danzo-candidate/awakening-transition,vfx/danzo-candidate/awakening-transition,sfx/danzo-candidate/awakening-transition,https://naruto.fandom.com/wiki/Danz%C5%8D_Shimura,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-fu-base,fu-base,form-fu-base,form-fu-seven-tails-cloak,Seven-Tails Cloak,Seven-Tails Cloak,60,KAGE,awaken-skill-fu-base,awakening-balanced-v1,hero/fu-base/base/prefab,hero/fu-base/awakened/prefab,hero/fu-base/base/portrait,hero/fu-base/awakened/portrait,animation/fu-base/awakening-transition,vfx/fu-base/awakening-transition,sfx/fu-base/awakening-transition,https://naruto.fandom.com/wiki/Jinch%C5%ABriki_Forms,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-gaara-genin,gaara-genin,form-gaara-genin,form-gaara-shukaku-cloak,Shukaku Gaara,Shukaku Gaara,60,KAGE,awaken-skill-gaara-genin,awakening-balanced-v1,hero/gaara-genin/base/prefab,hero/gaara-genin/awakened/prefab,hero/gaara-genin/base/portrait,hero/gaara-genin/awakened/portrait,animation/gaara-genin/awakening-transition,vfx/gaara-genin/awakening-transition,sfx/gaara-genin/awakening-transition,https://naruto.fandom.com/wiki/Gaara,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-ginkaku-base,ginkaku-base,form-ginkaku-silver-brother,form-ginkaku-nine-tails-cloak,Nine-Tails Cloak,Nine-Tails Cloak,60,KAGE,awaken-skill-ginkaku-base,awakening-balanced-v1,hero/ginkaku-base/base/prefab,hero/ginkaku-base/awakened/prefab,hero/ginkaku-base/base/portrait,hero/ginkaku-base/awakened/portrait,animation/ginkaku-base/awakening-transition,vfx/ginkaku-base/awakening-transition,sfx/ginkaku-base/awakening-transition,https://naruto.fandom.com/wiki/Ginkaku,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-hagoromo-young,hagoromo-young,form-hagoromo-otsutsuki-young,form-hagoromo-otsutsuki-sage-of-six-paths,Sage of Six Paths,Sage of Six Paths,60,KAGE,awaken-skill-hagoromo-young,awakening-balanced-v1,hero/hagoromo-young/base/prefab,hero/hagoromo-young/awakened/prefab,hero/hagoromo-young/base/portrait,hero/hagoromo-young/awakened/portrait,animation/hagoromo-young/awakening-transition,vfx/hagoromo-young/awakening-transition,sfx/hagoromo-young/awakening-transition,https://naruto.fandom.com/wiki/Hagoromo_%C5%8Ctsutsuki,ANIME_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-han-base,han-base,form-han-base,form-han-five-tails-cloak,Five-Tails Cloak,Five-Tails Cloak,60,KAGE,awaken-skill-han-base,awakening-balanced-v1,hero/han-base/base/prefab,hero/han-base/awakened/prefab,hero/han-base/base/portrait,hero/han-base/awakened/portrait,animation/han-base/awakening-transition,vfx/han-base/awakening-transition,sfx/han-base/awakening-transition,https://naruto.fandom.com/wiki/Jinch%C5%ABriki_Forms,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
awakening-hashirama-hokage,hashirama-hokage,form-hashirama-senju-first-hokage,form-hashirama-senju-sage-mode,Sage Hashirama,Sage Hashirama,60,KAGE,awaken-skill-hashirama-hokage,awakening-balanced-v1,hero/hashirama-hokage/base/prefab,hero/hashirama-hokage/awakened/prefab,hero/hashirama-hokage/base/portrait,hero/hashirama-hokage/awakened/portrait,animation/hashirama-hokage/awakening-transition,vfx/hashirama-hokage/awakening-transition,sfx/hashirama-hokage/awakening-transition,https://naruto.fandom.com/wiki/Hashirama_Senju,MANGA_CANON,PLAYABLE_SCHEMA_BASELINE
