path_id,character_id,from_variant,to_variant,status,notes
naruto-sage,naruto-uzumaki,Genin,Sage Mode,DESIGN_PENDING_PARITY,Exact materials/level gates must be verified
naruto-kcm1,naruto-uzumaki,Sage Mode,KCM1,DESIGN_PENDING_PARITY,Separate transformation path
naruto-kcm2,naruto-uzumaki,KCM1,KCM2,DESIGN_PENDING_PARITY,Separate transformation path
naruto-six-paths,naruto-uzumaki,KCM2,Six Paths Sage Mode,DESIGN_PENDING_PARITY,Late-game Six Path path
sasuke-cm2,sasuke-uchiha,Genin,Curse Mark Level 2,DESIGN_PENDING_PARITY,Exact materials/level gates must be verified
sasuke-mangekyo,sasuke-uchiha,Hebi,Mangekyo Sharingan,DESIGN_PENDING_PARITY,Variant unlock path
sasuke-ems,sasuke-uchiha,Mangekyo Sharingan,Eternal Mangekyo Sharingan,DESIGN_PENDING_PARITY,Variant unlock path
sasuke-rinnegan,sasuke-uchiha,Eternal Mangekyo Sharingan,Rinnegan,DESIGN_PENDING_PARITY,Late-game Rinnegan path
madara-rinnegan,madara-uchiha,Eternal Mangekyo,Rinnegan,DESIGN_PENDING_PARITY,Late-game path
madara-juubi,madara-uchiha,Rinnegan,Ten-Tails Jinchuriki,DESIGN_PENDING_PARITY,Transformation path
obito-juubi,obito-uchiha,White Mask,Ten-Tails Jinchuriki,DESIGN_PENDING_PARITY,Transformation path
might-guy-eight-gates,might-guy,Seventh Gate,Eighth Gate,DESIGN_PENDING_PARITY,High-risk ultimate form
kabuto-sage,kabuto-yakushi,Shippuden,Snake Sage,DESIGN_PENDING_PARITY,Sage transformation path
