character_id,beast,track_id,status
bunpuku,SHUKAKU,shukaku-host,DESIGN_PENDING_PARITY
gaara,SHUKAKU,shukaku-host,DESIGN_PENDING_PARITY
yugito-nii,MATABI,matatabi-host,DESIGN_PENDING_PARITY
yagura-karatachi,ISOBU,isobu-host,DESIGN_PENDING_PARITY
roshi,SON_GOKU,son-goku-host,DESIGN_PENDING_PARITY
han,KOKUO,kokuo-host,DESIGN_PENDING_PARITY
utakata,SAIKEN,saiken-host,DESIGN_PENDING_PARITY
fu,CHOMEI,chomei-host,DESIGN_PENDING_PARITY
killer-b,GYUKI,gyuki-host,DESIGN_PENDING_PARITY
mito-uzumaki,KURAMA,kurama-host,DESIGN_PENDING_PARITY
kushina-uzumaki,KURAMA,kurama-host,DESIGN_PENDING_PARITY
naruto-uzumaki,KURAMA,kurama-host,DESIGN_PENDING_PARITY
obito-uchiha,TEN_TAILS,ten-tails-host,DESIGN_PENDING_PARITY
madara-uchiha,TEN_TAILS,ten-tails-host,DESIGN_PENDING_PARITY
