id,name_key,element,max_level,primary_stat,base_value,status
scroll-yinyang-power,scroll.yinyang_power,YIN_YANG,10,POWER,100,EXPANSION_PLAYABLE_PROFILE
scroll-yinyang-vitality,scroll.yinyang_vitality,YIN_YANG,10,HP,180,EXPANSION_PLAYABLE_PROFILE
scroll-fire-attack,scroll.fire_attack,FIRE,10,CHAKRA_ATTACK,45,EXPANSION_PLAYABLE_PROFILE
scroll-fire-crit,scroll.fire_crit,FIRE,10,CHAKRA_CRIT,80,EXPANSION_PLAYABLE_PROFILE
scroll-water-defense,scroll.water_defense,WATER,10,CHAKRA_DEFENSE,45,EXPANSION_PLAYABLE_PROFILE
scroll-water-heal,scroll.water_heal,WATER,10,HEALING,80,EXPANSION_PLAYABLE_PROFILE
scroll-wind-speed,scroll.wind_speed,WIND,10,SPEED,5,EXPANSION_PLAYABLE_PROFILE
scroll-wind-dodge,scroll.wind_dodge,WIND,10,DODGE,80,EXPANSION_PLAYABLE_PROFILE
scroll-earth-defense,scroll.earth_defense,EARTH,10,PHYSICAL_DEFENSE,45,EXPANSION_PLAYABLE_PROFILE
scroll-earth-hp,scroll.earth_hp,EARTH,10,HP,220,EXPANSION_PLAYABLE_PROFILE
scroll-lightning-attack,scroll.lightning_attack,LIGHTNING,10,PHYSICAL_ATTACK,45,EXPANSION_PLAYABLE_PROFILE
scroll-lightning-crit,scroll.lightning_crit,LIGHTNING,10,PHYSICAL_CRIT,80,EXPANSION_PLAYABLE_PROFILE
scroll-fire-ultimate,scroll.fire_ultimate,FIRE,10,ULTIMATE_DAMAGE,100,EXPANSION_PLAYABLE_PROFILE
scroll-water-resist,scroll.water_resist,WATER,10,STATUS_RESIST,100,EXPANSION_PLAYABLE_PROFILE
scroll-wind-energy,scroll.wind_energy,WIND,10,ENERGY_GAIN,50,EXPANSION_PLAYABLE_PROFILE
scroll-earth-block,scroll.earth_block,EARTH,10,BLOCK,100,EXPANSION_PLAYABLE_PROFILE
scroll-lightning-penetration,scroll.lightning_penetration,LIGHTNING,10,PENETRATION,100,EXPANSION_PLAYABLE_PROFILE
scroll-yinyang-awakening,scroll.yinyang_awakening,YIN_YANG,10,ALL_STATS,50,EXPANSION_PLAYABLE_PROFILE
