mode_id,slot,character_id,variant,level
naruto-trial,0,naruto-uzumaki,,10
naruto-trial,1,kakashi-hatake,,9
naruto-trial,2,sakura-haruno,,9
naruto-trial,3,sai,,9
naruto-trial,4,yamato,,9
forest-hunt,0,kiba-inuzuka,,8
forest-hunt,1,shino-aburame,,8
forest-hunt,2,hinata-hyuga,,8
forest-hunt,3,neji-hyuga,,8
forest-hunt,4,rock-lee,,8
ninja-test,0,kakashi-hatake,,12
ninja-test,1,asuma-sarutobi,,12
ninja-test,2,kurenai-yuhi,,12
ninja-test,3,might-guy,,12
ninja-test,4,yamato,,12
gold-challenge,0,kakuzu,,10
gold-challenge,1,deidara,,10
gold-challenge,2,sasori,,10
gold-challenge,3,hidan,,10
gold-challenge,4,kisame-hoshigaki,,10
daily-food,0,choji-akimichi,,7
daily-food,1,ino-yamanaka,,7
daily-food,2,shikamaru-nara,,7
daily-food,3,asuma-sarutobi,,7
daily-food,4,kurenai-yuhi,,7
resource-raid,0,orochimaru,,16
resource-raid,1,kabuto-yakushi,,16
resource-raid,2,sasuke-uchiha,,16
resource-raid,3,jugo,,16
resource-raid,4,suigetsu-hozuki,,16
battle-relief,0,gaara,,13
battle-relief,1,temari,,13
battle-relief,2,kankuro,,13
battle-relief,3,chiyo,,13
battle-relief,4,baki,,13
obito-ultimate-trial,0,obito-uchiha,,22
obito-ultimate-trial,1,madara-uchiha,,20
obito-ultimate-trial,2,kakashi-hatake,,18
obito-ultimate-trial,3,minato-namikaze,,18
obito-ultimate-trial,4,rin-nohara,,18
tailed-beast-conquer,0,killer-b,,24
tailed-beast-conquer,1,gaara,,22
tailed-beast-conquer,2,naruto-uzumaki,,24
tailed-beast-conquer,3,obito-uchiha,,24
tailed-beast-conquer,4,madara-uchiha,,24
