id,character,group,scope,playable,status
naruto-uzumaki,Naruto Uzumaki,Konoha,CORE,YES,CENSUS
sasuke-uchiha,Sasuke Uchiha,Konoha,CORE,YES,CENSUS
sakura-haruno,Sakura Haruno,Konoha,CORE,YES,CENSUS
kakashi-hatake,Kakashi Hatake,Konoha,CORE,YES,CENSUS
sai,Sai,Konoha,CORE,YES,CENSUS
yamato,Yamato,Konoha,CORE,YES,CENSUS
iruka-umino,Iruka Umino,Konoha,CORE,YES,CENSUS
konohamaru-sarutobi,Konohamaru Sarutobi,Konoha,CORE,YES,CENSUS
moegi-kazamatsuri,Moegi Kazamatsuri,Konoha,CORE,YES,CENSUS
udon-ise,Udon Ise,Konoha,CORE,YES,CENSUS
shikamaru-nara,Shikamaru Nara,Konoha,CORE,YES,CENSUS
ino-yamanaka,Ino Yamanaka,Konoha,CORE,YES,CENSUS
choji-akimichi,Choji Akimichi,Konoha,CORE,YES,CENSUS
asuma-sarutobi,Asuma Sarutobi,Konoha,CORE,YES,CENSUS
kurenai-yuhi,Kurenai Yuhi,Konoha,CORE,YES,CENSUS
hinata-hyuga,Hinata Hyuga,Konoha,CORE,YES,CENSUS
kiba-inuzuka,Kiba Inuzuka,Konoha,CORE,YES,CENSUS
shino-aburame,Shino Aburame,Konoha,CORE,YES,CENSUS
neji-hyuga,Neji Hyuga,Konoha,CORE,YES,CENSUS
rock-lee,Rock Lee,Konoha,CORE,YES,CENSUS
tenten,Tenten,Konoha,CORE,YES,CENSUS
might-guy,Might Guy,Konoha,CORE,YES,CENSUS
ebisu,Ebisu,Konoha,CORE,YES,CENSUS
anko-mitarashi,Anko Mitarashi,Konoha,CORE,YES,CENSUS
shizune,Shizune,Konoha,CORE,YES,CENSUS
tsunade,Tsunade,Konoha,CORE,YES,CENSUS
jiraiya,Jiraiya,Konoha,CORE,YES,CENSUS
hiruzen-sarutobi,Hiruzen Sarutobi,Konoha,CORE,YES,CENSUS
minato-namikaze,Minato Namikaze,Konoha,CORE,YES,CENSUS
kushina-uzumaki,Kushina Uzumaki,Konoha,CORE,YES,CENSUS
hashirama-senju,Hashirama Senju,Konoha,CORE,YES,CENSUS
tobirama-senju,Tobirama Senju,Konoha,CORE,YES,CENSUS
danzo-shimura,Danzo Shimura,Konoha,CORE,YES,CENSUS
shisui-uchiha,Shisui Uchiha,Konoha,CORE,YES,CENSUS
fugaku-uchiha,Fugaku Uchiha,Konoha,CORE,YES,CENSUS
izuna-uchiha,Izuna Uchiha,Konoha,CORE,YES,CENSUS
madara-uchiha,Madara Uchiha,Konoha,CORE,YES,CENSUS
