character_id,variant,status
iruka-umino,Academy Instructor,EXPANSION_DESIGN
iruka-umino,Protective Sensei,EXPANSION_DESIGN
konohamaru-sarutobi,Academy Prodigy,EXPANSION_DESIGN
konohamaru-sarutobi,Rasengan Disciple,EXPANSION_DESIGN
moegi-kazamatsuri,Academy Squad,EXPANSION_DESIGN
moegi-kazamatsuri,Chunin Leader,EXPANSION_DESIGN
udon-ise,Academy Squad,EXPANSION_DESIGN
udon-ise,Tactical Chunin,EXPANSION_DESIGN
sai,Root Operative,EXPANSION_DESIGN
sai,Team 7,EXPANSION_DESIGN
yamato,ANBU Wood Style,EXPANSION_DESIGN
yamato,Team Captain,EXPANSION_DESIGN
kurenai-yuhi,Genjutsu Jonin,EXPANSION_DESIGN
kurenai-yuhi,Team 8 Leader,EXPANSION_DESIGN
kiba-inuzuka,Chunin Exams,EXPANSION_DESIGN
kiba-inuzuka,Two-Headed Wolf,EXPANSION_DESIGN
shino-aburame,Chunin Exams,EXPANSION_DESIGN
shino-aburame,Insect Master,EXPANSION_DESIGN
tenten,Chunin Exams,EXPANSION_DESIGN
tenten,Bashosen Wielder,EXPANSION_DESIGN
ebisu,Elite Tutor,EXPANSION_DESIGN
ebisu,Special Jonin,EXPANSION_DESIGN
anko-mitarashi,Chunin Exams Proctor,EXPANSION_DESIGN
anko-mitarashi,Cursed Seal Survivor,EXPANSION_DESIGN
shizune,Sannin Attendant,EXPANSION_DESIGN
shizune,Medical Corps,EXPANSION_DESIGN
fugaku-uchiha,Clan Head,EXPANSION_DESIGN
fugaku-uchiha,Police Captain,EXPANSION_DESIGN
izuna-uchiha,Warring States,EXPANSION_DESIGN
izuna-uchiha,Mangekyo Sharingan,EXPANSION_DESIGN
rin-nohara,Team Minato,EXPANSION_DESIGN
rin-nohara,Three-Tails Vessel,EXPANSION_DESIGN
sakumo-hatake,White Fang,EXPANSION_DESIGN
sakumo-hatake,Prime,EXPANSION_DESIGN
dan-kato,Jonin,EXPANSION_DESIGN
dan-kato,Spirit Transformation,EXPANSION_DESIGN
hiashi-hyuga,Clan Head,EXPANSION_DESIGN
hiashi-hyuga,War Arc,EXPANSION_DESIGN
hizashi-hyuga,Branch House,EXPANSION_DESIGN
hizashi-hyuga,Reanimated,EXPANSION_DESIGN
hanabi-hyuga,Hyuga Heiress,EXPANSION_DESIGN
hanabi-hyuga,Byakugan Master,EXPANSION_DESIGN
torune-aburame,Root Operative,EXPANSION_DESIGN
torune-aburame,Nano Insects,EXPANSION_DESIGN
fu-yamanaka,Root Operative,EXPANSION_DESIGN
fu-yamanaka,Mind Transfer,EXPANSION_DESIGN
kotetsu-hagane,Gate Guard,EXPANSION_DESIGN
kotetsu-hagane,War Arc,EXPANSION_DESIGN
izumo-kamizuki,Gate Guard,EXPANSION_DESIGN
izumo-kamizuki,War Arc,EXPANSION_DESIGN
genma-shiranui,Special Jonin,EXPANSION_DESIGN
genma-shiranui,Fourth Hokage Guard,EXPANSION_DESIGN
raido-namiashi,Special Jonin,EXPANSION_DESIGN
raido-namiashi,Fourth Hokage Guard,EXPANSION_DESIGN
aoba-yamashiro,Jonin,EXPANSION_DESIGN
aoba-yamashiro,Intelligence Corps,EXPANSION_DESIGN
ibiki-morino,Interrogation Chief,EXPANSION_DESIGN
ibiki-morino,War Arc,EXPANSION_DESIGN
hayate-gekko,Chunin Exams Proctor,EXPANSION_DESIGN
hayate-gekko,Crescent Moon Blade,EXPANSION_DESIGN
yugao-uzuki,ANBU,EXPANSION_DESIGN
yugao-uzuki,Crescent Moon Blade,EXPANSION_DESIGN
might-duy,Eternal Genin,EXPANSION_DESIGN
might-duy,Eight Gates,EXPANSION_DESIGN
shikaku-nara,Clan Head,EXPANSION_DESIGN
shikaku-nara,Allied Strategy Chief,EXPANSION_DESIGN
inoichi-yamanaka,Clan Head,EXPANSION_DESIGN
inoichi-yamanaka,Allied Intelligence Chief,EXPANSION_DESIGN
choza-akimichi,Clan Head,EXPANSION_DESIGN
choza-akimichi,War Arc,EXPANSION_DESIGN
kagami-uchiha,Tobirama Guard,EXPANSION_DESIGN
kagami-uchiha,Sharingan Elite,EXPANSION_DESIGN
torifu-akimichi,Tobirama Guard,EXPANSION_DESIGN
torifu-akimichi,Akimichi Veteran,EXPANSION_DESIGN
