awakening_skill_id,hero_id,awakening_id,name_en,name_vi,classification,element,damage_type,target_type,coefficient,chakra_cost,cooldown,effects,statuses,buffs,debuffs,special_mechanic,animation_key,vfx_key,sfx_key,description_en,description_vi,canon_source,canon_confidence,status
awaken-skill-fourth-raikage-base,fourth-raikage-base,awakening-fourth-raikage-base,Lightning Release Chakra Mode Signature,Tuyệt kỹ Lightning Release Chakra Mode,AWAKENING_SKILL,MIXED,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/fourth-raikage-base/awakening-skill,vfx/fourth-raikage-base/awakening-skill,sfx/fourth-raikage-base/awakening-skill,"Reserved sixth skill for Lightning Release Chakra Mode; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Lightning Release Chakra Mode; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Lightning_Release_Chakra_Mode,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-asura-base,asura-base,awakening-asura-base,Six Paths Avatar Signature,Tuyệt kỹ Six Paths Avatar,AWAKENING_SKILL,CHAKRA,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/asura-base/awakening-skill,vfx/asura-base/awakening-skill,sfx/asura-base/awakening-skill,"Reserved sixth skill for Six Paths Avatar; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Six Paths Avatar; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Asura_%C5%8Ctsutsuki,ANIME_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-blue-b-core,blue-b-core,awakening-blue-b-core,Jinchuriki Cloak Signature,Tuyệt kỹ Jinchuriki Cloak,AWAKENING_SKILL,MIXED,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/blue-b-core/awakening-skill,vfx/blue-b-core/awakening-skill,sfx/blue-b-core/awakening-skill,"Reserved sixth skill for Jinchuriki Cloak; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Jinchuriki Cloak; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",current variant census; current kit seed=jinchuriki,DESIGN_INTERPRETATION,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-choji-shippuden,choji-shippuden,awakening-choji-shippuden,Butterfly Choji Signature,Tuyệt kỹ Butterfly Choji,AWAKENING_SKILL,MIXED,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/choji-shippuden/awakening-skill,vfx/choji-shippuden/awakening-skill,sfx/choji-shippuden/awakening-skill,"Reserved sixth skill for Butterfly Choji; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Butterfly Choji; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Ch%C5%8Dji_Akimichi,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-danzo-candidate,danzo-candidate,awakening-danzo-candidate,Izanagi Arm Unsealed Signature,Tuyệt kỹ Izanagi Arm Unsealed,AWAKENING_SKILL,WIND,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/danzo-candidate/awakening-skill,vfx/danzo-candidate/awakening-skill,sfx/danzo-candidate/awakening-skill,"Reserved sixth skill for Izanagi Arm Unsealed; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Izanagi Arm Unsealed; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Danz%C5%8D_Shimura,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-fu-base,fu-base,awakening-fu-base,Seven-Tails Cloak Signature,Tuyệt kỹ Seven-Tails Cloak,AWAKENING_SKILL,MIXED,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/fu-base/awakening-skill,vfx/fu-base/awakening-skill,sfx/fu-base/awakening-skill,"Reserved sixth skill for Seven-Tails Cloak; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Seven-Tails Cloak; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Jinch%C5%ABriki_Forms,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-gaara-genin,gaara-genin,awakening-gaara-genin,Shukaku Gaara Signature,Tuyệt kỹ Shukaku Gaara,AWAKENING_SKILL,CHAKRA,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/gaara-genin/awakening-skill,vfx/gaara-genin/awakening-skill,sfx/gaara-genin/awakening-skill,"Reserved sixth skill for Shukaku Gaara; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Shukaku Gaara; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Gaara,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-ginkaku-base,ginkaku-base,awakening-ginkaku-base,Nine-Tails Cloak Signature,Tuyệt kỹ Nine-Tails Cloak,AWAKENING_SKILL,MIXED,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/ginkaku-base/awakening-skill,vfx/ginkaku-base/awakening-skill,sfx/ginkaku-base/awakening-skill,"Reserved sixth skill for Nine-Tails Cloak; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Nine-Tails Cloak; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Ginkaku,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-hagoromo-young,hagoromo-young,awakening-hagoromo-young,Sage of Six Paths Signature,Tuyệt kỹ Sage of Six Paths,AWAKENING_SKILL,CHAKRA,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/hagoromo-young/awakening-skill,vfx/hagoromo-young/awakening-skill,sfx/hagoromo-young/awakening-skill,"Reserved sixth skill for Sage of Six Paths; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Sage of Six Paths; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Hagoromo_%C5%8Ctsutsuki,ANIME_CANON,SCHEMA_BASELINE_NOT_RUNTIME
awaken-skill-han-base,han-base,awakening-han-base,Five-Tails Cloak Signature,Tuyệt kỹ Five-Tails Cloak,AWAKENING_SKILL,MIXED,UNRESOLVED_EXPLICIT_DESIGN,UNRESOLVED_EXPLICIT_DESIGN,0,0,0,M47_EXPLICIT_DESIGN_REQUIRED,,,,M47_EXPLICIT_DESIGN_REQUIRED,animation/han-base/awakening-skill,vfx/han-base/awakening-skill,sfx/han-base/awakening-skill,"Reserved sixth skill for Five-Tails Cloak; final targeting, scaling, counterplay and canon technique selection are intentionally deferred to M47 explicit skill research.","Kỹ năng thứ sáu dành riêng cho Five-Tails Cloak; mục tiêu, hệ số, khắc chế và kỹ thuật canon cuối cùng sẽ được nghiên cứu/thiết kế rõ ở M47.",https://naruto.fandom.com/wiki/Jinch%C5%ABriki_Forms,MANGA_CANON,SCHEMA_BASELINE_NOT_RUNTIME
