character_id,profile_id
naruto-uzumaki,naruto
sasuke-uchiha,sasuke
sakura-haruno,medical
kakashi-hatake,kakashi
sai,genjutsu
yamato,wood
iruka-umino,taijutsu
konohamaru-sarutobi,naruto
moegi-kazamatsuri,earth
udon-ise,water
shikamaru-nara,nara
ino-yamanaka,yamanaka
choji-akimichi,akimichi
asuma-sarutobi,swordsman
kurenai-yuhi,genjutsu
hinata-hyuga,hyuga
kiba-inuzuka,inuzuka
shino-aburame,aburame
neji-hyuga,hyuga
rock-lee,gates
tenten,swordsman
might-guy,gates
ebisu,taijutsu
anko-mitarashi,orochimaru
shizune,medical
tsunade,medical
jiraiya,naruto-sage
hiruzen-sarutobi,swordsman
minato-namikaze,taijutsu
kushina-uzumaki,jinchuriki
hashirama-senju,wood
tobirama-senju,water
danzo-shimura,wind
shisui-uchiha,sasuke
fugaku-uchiha,sasuke
izuna-uchiha,sasuke
madara-uchiha,madara
obito-uchiha,obito
rin-nohara,medical
sakumo-hatake,swordsman
dan-kato,genjutsu
hiashi-hyuga,hyuga
hizashi-hyuga,hyuga
hanabi-hyuga,hyuga
torune-aburame,aburame
fu-yamanaka,yamanaka
kotetsu-hagane,swordsman
izumo-kamizuki,swordsman
genma-shiranui,swordsman
raido-namiashi,swordsman
aoba-yamashiro,genjutsu
ibiki-morino,genjutsu
hayate-gekko,swordsman
yugao-uzuki,swordsman
might-duy,gates
shikaku-nara,nara
inoichi-yamanaka,yamanaka
choza-akimichi,akimichi
kagami-uchiha,sasuke
torifu-akimichi,akimichi
nono-yakushi,medical
kosuke-maruboshi,water
mizuki,taijutsu
idate-morino,swordsman
gaara,gaara
temari,wind
kankuro,puppet
rasa,gaara
chiyo,puppet
ebizo,puppet
sasori,puppet
pakura,wind
maki,wind
baki,wind
yashamaru,medical
matsuri,wind
sari,wind
mei-terumi,water
chojuro,water
ao,water
yagura-karatachi,jinchuriki
zabuza-momochi,water
haku,water
kisame-hoshigaki,kisame
mangetsu-hozuki,water
suigetsu-hozuki,water
fuguki-suikazan,water
jinin-akebino,water
jinpachi-munashi,water
kushimaru-kuriarare,water
ameyuri-ringo,storm
raiga-kurosuki,storm
gengetsu-hozuki,water
byakuren,water
chukichi,water
a-fourth-raikage,raikage
third-raikage,raikage
killer-b,jinchuriki
yugito-nii,jinchuriki
darui,storm
c,genjutsu
omoi,swordsman
karui,swordsman
samui,swordsman
atsui,storm
dodai,earth
mabui,storm
toroi,gaara
blue-b,jinchuriki
motoi,jinchuriki
first-raikage,raikage
second-raikage,raikage
onoki,particle
kurotsuchi,earth
akatsuchi,earth
mu,particle
deidara,deidara
roshi,jinchuriki
han,jinchuriki
kitsuchi,earth
gari,earth
ishikawa,earth
kakko,earth
taiseki,earth
mahiru,earth
nagato,rinnegan
yahiko,water
konan,konan
hanzo,swordsman
ajisai,water
shigure,water
baiu,water
midare,water
oboro,water
mubi,water
kagari,water
orochimaru,orochimaru
kabuto-yakushi,kabuto
kimimaro,gates
jugo,gates
karin,medical
tayuya,sound
kidomaru,sound
sakon,sound
ukon,sound
jirobo,sound
dosu-kinuta,sound
kin-tsuchi,sound
zaku-abumi,wind
guren,earth
yoroi-akado,medical
misumi-tsurugi,sound
itachi-uchiha,itachi
hidan,hidan
kakuzu,kakuzu
black-zetsu,obito
white-zetsu,wood
bunpuku,jinchuriki
mito-uzumaki,jinchuriki
utakata,jinchuriki
fu,jinchuriki
kinkaku,jinchuriki
ginkaku,jinchuriki
mifune,samurai
okisuke,samurai
kaguya-otsutsuki,sixpaths
hagoromo-otsutsuki,sixpaths
hamura-otsutsuki,sixpaths
indra-otsutsuki,sasuke-ms
asura-otsutsuki,naruto-sixpaths
gamabunta,naruto-sage
gamakichi,naruto-sage
fukasaku,naruto-sage
shima,naruto-sage
manda,orochimaru
aoda,orochimaru
katsuyu,summon
enma,swordsman
sora,jinchuriki
menma-uzumaki,naruto-kcm
hiruko,genjutsu
mukade,puppet
shinno,gates
toneri-otsutsuki,sixpaths
gozu,swordsman
meizu,swordsman
fuen,genjutsu
fudo,earth
fuka,genjutsu
