skill_id,hero_id,slot,source_technique_id,name_en,name_vi,channel,kind,tags,explicitness,status,research_note
hvs-fourth-raikage-base-basic,fourth-raikage-base,BASIC,basic-punch,Basic Punch,Basic Punch,PHYSICAL,BASIC,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from raikage/basic-punch; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-fourth-raikage-base-skill-1,fourth-raikage-base,SKILL_1,lightning-armor,Lightning Armor,Lightning Armor,CHAKRA,ACTIVE,lightning,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from raikage/lightning-armor; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-fourth-raikage-base-skill-2,fourth-raikage-base,SKILL_2,lariat,Lariat,Lariat,PHYSICAL,ACTIVE,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from raikage/lariat; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-fourth-raikage-base-ultimate,fourth-raikage-base,ULTIMATE,lightning-straight,Lightning Straight,Lightning Straight,PHYSICAL,ULTIMATE,lightning|burst,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from raikage/lightning-straight; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-fourth-raikage-base-passive,fourth-raikage-base,PASSIVE,passive-will-of-fire,Passive Will Of Fire,Passive Will Of Fire,CHAKRA,PASSIVE,fire|passive,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from raikage/passive-will-of-fire; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-ajisai-core-basic,ajisai-core,BASIC,basic-sword,Basic Sword,Basic Sword,PHYSICAL,BASIC,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from water/basic-sword; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-ajisai-core-skill-1,ajisai-core,SKILL_1,water-dragon,Water Dragon,Water Dragon,CHAKRA,ACTIVE,water,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from water/water-dragon; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-ajisai-core-skill-2,ajisai-core,SKILL_2,mist-assassination,Mist Assassination,Mist Assassination,PHYSICAL,ACTIVE,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from water/mist-assassination; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-ajisai-core-ultimate,ajisai-core,ULTIMATE,water-shark-bomb,Water Shark Bomb,Water Shark Bomb,CHAKRA,ULTIMATE,water|burst,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from water/water-shark-bomb; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-ajisai-core-passive,ajisai-core,PASSIVE,passive-swordsman,Passive Swordsman,Passive Swordsman,CHAKRA,PASSIVE,passive,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from water/passive-swordsman; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-akatsuchi-core-basic,akatsuchi-core,BASIC,basic-punch,Basic Punch,Basic Punch,PHYSICAL,BASIC,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from earth/basic-punch; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-akatsuchi-core-skill-1,akatsuchi-core,SKILL_1,earth-wall,Earth Wall,Earth Wall,CHAKRA,ACTIVE,earth,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from earth/earth-wall; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-akatsuchi-core-skill-2,akatsuchi-core,SKILL_2,earth-pillar,Earth Pillar,Earth Pillar,CHAKRA,ACTIVE,earth,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from earth/earth-pillar; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-akatsuchi-core-ultimate,akatsuchi-core,ULTIMATE,earth-quake,Earth Quake,Earth Quake,CHAKRA,ULTIMATE,earth|burst,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from earth/earth-quake; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-akatsuchi-core-passive,akatsuchi-core,PASSIVE,passive-strategist,Passive Strategist,Passive Strategist,CHAKRA,PASSIVE,passive,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from earth/passive-strategist; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-ameyuri-ringo-core-basic,ameyuri-ringo-core,BASIC,basic-sword,Basic Sword,Basic Sword,PHYSICAL,BASIC,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from storm/basic-sword; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-ameyuri-ringo-core-skill-1,ameyuri-ringo-core,SKILL_1,lightning-armor,Lightning Armor,Lightning Armor,CHAKRA,ACTIVE,lightning,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from storm/lightning-armor; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-ameyuri-ringo-core-skill-2,ameyuri-ringo-core,SKILL_2,storm-laser,Storm Laser,Storm Laser,CHAKRA,ACTIVE,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from storm/storm-laser; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-ameyuri-ringo-core-ultimate,ameyuri-ringo-core,ULTIMATE,black-lightning,Black Lightning,Black Lightning,CHAKRA,ULTIMATE,lightning|burst,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from storm/black-lightning; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-ameyuri-ringo-core-passive,ameyuri-ringo-core,PASSIVE,passive-strategist,Passive Strategist,Passive Strategist,CHAKRA,PASSIVE,passive,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from storm/passive-strategist; M47 must tune version-specific mechanics and evidence before final canon parity.
hvs-anko-mitarashi-core-basic,anko-mitarashi-core,BASIC,basic-sword,Basic Sword,Basic Sword,PHYSICAL,BASIC,combat,HERO_VERSION_EXPLICIT_ALIAS,PLAYABLE_DESIGN_BASELINE,Explicit per-version alias seeded from orochimaru/basic-sword; M47 must tune version-specific mechanics and evidence before final canon parity.
