profile_id,basic,skill1,skill2,ultimate,passive
aburame,basic-kunai,parasitic-insects,insect-sphere,chakra-drain,passive-strategist
akimichi,basic-punch,partial-expansion,human-boulder,butterfly-bomb,passive-will-of-fire
deidara,basic-chakra-palm,c1-birds,c2-dragon,c4-karura,passive-strategist
earth,basic-punch,earth-wall,earth-pillar,earth-quake,passive-strategist
gaara,basic-chakra-palm,sand-shield,sand-coffin,sand-mausoleum,passive-jinchuriki
gates,basic-punch,taijutsu-combo,eight-gates,night-guy,passive-will-of-fire
genjutsu,basic-kunai,genjutsu-eye,mind-destruction,illusion-prison,passive-strategist
hidan,basic-sword,triple-scythe,body-flicker,curse-ritual,passive-immortal
hyuga,basic-chakra-palm,gentle-fist,rotation,eight-trigrams-64,passive-byakugan
inuzuka,basic-punch,fang-over-fang,body-flicker,two-headed-wolf,passive-will-of-fire
itachi,basic-kunai,fireball-jutsu,tsukuyomi,totsuka-blade,passive-sharingan
jinchuriki,basic-punch,tailed-cloak,kurama-claw,tailed-beast-bomb,passive-jinchuriki
kabuto,basic-chakra-palm,chakra-scalpel,white-rage,inorganic-reanimation,passive-sage
kakashi,basic-kunai,lightning-blade,mud-wall,kamui,copy-tactics
kakuzu,basic-punch,earth-spear,fireball-jutsu,mask-combo,passive-immortal
kisame,basic-sword,water-shark-bomb,water-dome,samehada-fusion,passive-swordsman
konan,basic-kunai,paper-shuriken,body-flicker,paper-angel,passive-strategist
madara,basic-chakra-palm,majestic-destroyer-flame,perfect-susanoo,tengai-shinsei,passive-sharingan
medical,basic-punch,chakra-punch,mystical-palm,hundred-healings,passive-medical
nara,basic-kunai,shadow-possession,shadow-neck-bind,kunai-volley,passive-strategist
naruto,basic-punch,shadow-clone-rush,rasengan,rasenshuriken,passive-will-of-fire
naruto-kcm,basic-punch,kurama-claw,rasenshuriken,tailed-beast-bomb,passive-jinchuriki
naruto-sage,basic-punch,sage-frog-kata,rasengan,rasenshuriken,passive-sage
naruto-sixpaths,basic-chakra-palm,truth-seeking-orbs,kurama-claw,six-paths-barrage,passive-jinchuriki
obito,basic-chakra-palm,kamui-phase,fireball-jutsu,wood-spikes,passive-sharingan
orochimaru,basic-sword,snake-sword,hidden-shadow-snakes,white-rage,passive-sage
particle,basic-chakra-palm,earth-pillar,weight-control,dust-release,passive-strategist
puppet,basic-kunai,puppet-needles,poison-cloud,hundred-puppets,passive-puppet
raikage,basic-punch,lightning-armor,lariat,lightning-straight,passive-will-of-fire
rinnegan,basic-chakra-palm,almighty-push,universal-pull,planetary-devastation,passive-rinnegan
samurai,basic-sword,chakra-blade,body-flicker,samurai-iaido,passive-swordsman
sasuke,basic-sword,fireball-jutsu,chidori,kirin,passive-sharingan
sasuke-ms,basic-sword,amaterasu,flame-control,susanoo-arrow,passive-sharingan
sasuke-rinnegan,basic-sword,amenotejikara,amaterasu,indras-arrow,passive-sharingan
sixpaths,basic-chakra-palm,limbo,truth-seeking-orbs,tengai-shinsei,passive-sage
sound,basic-kunai,flute-genjutsu,sound-wave,demon-flute-phantoms,passive-strategist
storm,basic-sword,lightning-armor,storm-laser,black-lightning,passive-strategist
summon,basic-chakra-palm,mystical-palm,acid-spray,mass-healing,passive-medical
swordsman,basic-sword,body-flicker,chakra-blade,crescent-slash,passive-swordsman
taijutsu,basic-punch,body-flicker,kunai-volley,taijutsu-combo,passive-will-of-fire
water,basic-sword,water-dragon,mist-assassination,water-shark-bomb,passive-swordsman
wind,basic-kunai,wind-scythe,wind-blade,great-wind-burst,passive-strategist
wood,basic-chakra-palm,wood-spikes,wood-dragon,deep-forest-emergence,passive-sage
yamanaka,basic-kunai,mind-transfer,mind-destruction,mystical-palm,passive-strategist
